Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date,Profit Percentage
Paranormal Activity,23827,Horror,Blumhouse Productions,15000,193355800,"After a young, middle class couple moves into a suburban 'starter' tract house, they become increasingly disturbed by a presence that may or may not be somehow demonic but is certainly most active in the middle of the night. Especially when they sleep. Or try to.",2007-09-14,99.99224228081081
Hot Fuzz,4638,Crime,Universal Pictures,12000000,80573774,"Top London cop, PC Nicholas Angel is good. Too good.  To stop the rest of his team from looking bad, he is reassigned to the quiet town of Sandford, paired with simple country cop, and everything seems quiet until two actors are found decapitated. It is addressed as an accident, but Angel isn't going to accept that, especially when more and more people turn up dead.",2007-02-14,85.1068165182383
Fantastic 4: Rise of the Silver Surfer,1979,Adventure,Marvel Enterprises,130000000,289047763,"The Fantastic Four return to the big screen as a new and all powerful enemy threatens the Earth. The seemingly unstoppable 'Silver Surfer', but all is not what it seems and there are old and new enemies that pose a greater threat than the intrepid superheroes realize.",2007-06-13,55.02473409558959
Sweeney Todd: The Demon Barber of Fleet Street,13885,Drama,Tim Burton Productions,50000000,152000000,"The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.",2007-12-20,67.10526315789474
Into the Wild,5915,Adventure,River Road Entertainment,15000000,56255142,"The true story of top student and athlete, Christopher McCandless, who after graduating from Emory University in 1992, abandoned his possessions, gave his entire $24,000 savings account to charity and hitchhiked to Alaska to live in the wilderness.",2007-09-11,73.33577079940532
Knocked Up,4964,Comedy,Apatow Productions,30000000,219076518,"For fun loving party animal Ben Stone, the last thing he ever expected was for his one night stand to show up on his doorstep eight weeks later to tell him she's pregnant.",2007-06-01,86.30615445512969
28 Weeks Later,1562,Horror,DNA Films,15000000,64238440,"In this chilling sequel to 28 Days Later, the inhabitants of the British Isles appear to have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",2007-04-26,76.64949522435475
Ghost Rider,1250,Thriller,Crystal Sky Pictures,110000000,228738393,"In order to save his dying father, young stunt cyclist, Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted, Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",2007-02-16,51.9101281786132
Ocean's Thirteen,298,Crime,Section Eight,85000000,311312624,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",2007-06-07,72.69625660924049
Gone Baby Gone,4771,Crime,Miramax Films,19000000,34619699,"When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case, the girl's aunt, Beatrice McCready hires two private detectives, Patrick Kenzie and Angie Gennaro. The detectives freely admit that they have little experience with this type of case, but the family wants them for two reasons - they're not cops and they know the tough neighborhood in which they all live. As the case progresses, Kenzie and Gennaro face drug dealers, gangs and pedophiles. When they are about to solve the case, they are faced with a moral dilemma that tears them apart.",2007-10-19,45.11795148767758
Superbad,8363,Comedy,Columbia Pictures,20000000,121463226,"High school best buddies are facing separation anxiety as they prepare to go off to college. While attempting to score alcohol for a party with help from a fake ID-toting friend, the guys' evening takes a turn into chaotic territory.",2007-08-17,83.5341109744607
Beowulf,2310,Adventure,Paramount Animation,70000000,195735876,"6th-century Scandinavian warrior, Beowulf embarks on a mission to slay the manlike ogre Grendel, a descendant of Cain.",2007-11-05,64.23752179186609
The Assassination of Jesse James by the Coward Robert Ford,4512,Action,Plan B Entertainment,30000000,14711793,"Outlaw Jesse James is rumored to be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status.",2007-09-02,-103.91804044551198
Ratatouille,2062,Animation,Pixar,150000000,623722818,"A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down.",2007-06-22,75.95085578543
3:10 to Yuma,5176,Western,Lionsgate,55000000,70016220,"In Arizona in the late 1800s, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to Yuma"", a train that will take the killer to trial.",2007-09-06,21.44677333337904
Shooter,7485,Action,Grosvenor Park Impact Productions,61000000,95696996,"A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why.",2007-03-22,36.25714228271074
National Treasure: Book of Secrets,6637,Action,Walt Disney Pictures,130000000,457363168,"Benjamin Franklin Gates and Dr. Abigail Chase re-team with Riley Poole and, now armed with a stack of long-lost pages from John Wilkes Booth's diary, Ben must follow a clue left there to prove his ancestor's innocence in the assassination of Abraham Lincoln.",2007-12-13,71.5761982827616
The Bourne Ultimatum,2503,Action,Universal Pictures,70000000,442824138,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",2007-08-03,84.19237029034763
[REC],8329,Horror,Filmax,1500000,30448000,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,2007-04-10,95.07356805044667
Rush Hour 3,5174,Action,New Line Cinema,140000000,258022233,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",2007-08-08,45.741109836841076
Atonement,4347,Drama,Universal Pictures,30000000,129266061,"As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",2007-08-29,76.7920521690531
Juno,7326,Comedy,Mandate Pictures,7500000,231411584,"A young girl named Juno gets herself pregnant and tries to stand on her own, but soon learns a few lessons about being grown up.",2007-12-05,96.7590213634249
The Mist,5876,Horror,Darkwoods Productions,18000000,57096190,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.",2007-11-21,68.47425371114956
No Country for Old Men,6977,Crime,Paramount Vantage,25000000,171600000,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",2007-11-08,85.43123543123544
Sunshine,1272,Science Fiction,UK Film Council,50000000,32017803,"Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope.",2007-04-05,-56.16311962441646
Eastern Promises,2252,Thriller,Focus Features,51500000,55112356,"A Russian teenager, living in London, dies during childbirth but leaves clues to a midwife in her journal, that could tie her child to a rape involving a violent Russian mob family.",2007-09-14,6.554530167427427
Disturbia,8271,Thriller,"Montecito Picture Company, The",20000000,117760134,"Kale is a 17-year-old placed under house arrest after punching his teacher. He is confined to his house, and decides to use his free time spying on his neighbors. Things start to get weird when guests enter the Turner's house and don't come back out. Kale and his friends, Ronnie and Ashley, start to grow more and more interested in what is actually happening within the house of Robert Turner.",2007-04-12,83.0163236736806
My Blueberry Nights,1989,Drama,Block 2 Pictures,10000000,21786738,"Elizabeth has just been through a particularly nasty breakup, and now she's ready to leave her friends and memories behind as she chases her dreams across the country. In order to support herself on her journey, Elizabeth picks up a series of waitress jobs along the way. As Elizabeth crosses paths with a series of lost souls whose yearnings are even greater than her own, their emotional turmoil ultimately helps her gain a greater understanding of her own problems...",2007-05-16,54.10051747994583
